episode: 0, loss: 1.0049502207974719, loss_ce: 0.7883812777555672, loss_length: 0.02165689418733025
episode: 1, loss: 0.8391244141918839, loss_ce: 0.5680388263456381, loss_length: 0.02710855871462708
episode: 2, loss: 0.7384780709910544, loss_ce: 0.4267782874547752, loss_length: 0.031169978296680816
episode: 3, loss: 0.6969518471675314, loss_ce: 0.3710114065628902, loss_length: 0.03259404412927521
episode: 4, loss: 0.6714439540152337, loss_ce: 0.3393092476258612, loss_length: 0.033213470676901995
episode: 5, loss: 0.6551120357148966, loss_ce: 0.3194365907626547, loss_length: 0.03356754414405033
episode: 6, loss: 0.6445302904411486, loss_ce: 0.30440206531506436, loss_length: 0.03401282257667393
episode: 7, loss: 0.6352331706672717, loss_ce: 0.2942211175230658, loss_length: 0.034101205456788374
episode: 8, loss: 0.6304894082105843, loss_ce: 0.2855930596020571, loss_length: 0.03448963479678722
episode: 9, loss: 0.6196968050519372, loss_ce: 0.2772129969612049, loss_length: 0.034248380820937216
